Record ID Number, ,NID ID,Primary Owner Type,Primary Purpose,latitude,longitude,City,County,Tract_Code,Tracts,Disadvantaged,State,Zip_Code,Congressional District,NID Height (Ft),NID Height Category,Year Completed,Year Completed Category,NID Storage (Acre-Ft),Normal Storage (Acre-Ft),Data Last Updated,Last Inspection Date,Inspection Frequency_Years,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,Tract_Code,Block_Code,,Total_Population_Tract,White_Alone_Tract,White_Alone_Tract_Pct,Black_Alone_Tract,Black_Alone_Tract_Pct,Total_Population_Block,White_Alone_Block,White_Alone_Block_Pct,Black_Alone_Block,Black_Alone_Block_PCT
11,Pearson Pond Dam,SC01101,Private,Irrigation,33.6652,-81.8476,Trenton,Edgefield,970400,970400Edgefield,TRUE,South Carolina,29847,"South Carolina, Congressional District 03",12,Less than 25 feet,1950,1950-1959,90,60,9/15/2023,8/2/2017,5,Low,Poor,8/2/2017,Yes,970400,3010,,3323,1648,49.59%,1364,41.05%,116,99,85.34%,12,10.34%
12,Duffies Pond Dam,SC00064,Private,Recreation,33.8443,-80.8527,Hopkins,Richland,011802,011802Richland,,South Carolina,29061,"South Carolina, Congressional District 06",7,Less than 25 feet,1967,1960-1969,720,480,9/15/2023,,5,Low,,,Not Required,11802,3046,,2676,245,9.16%,2294,85.72%,4,2,50.00%,2,50.00%
13,Webb Dam,SC00362,Private,Recreation,33.3822,-81.8861,Jackson,Aiken,020901,020901Aiken,,South Carolina,29831,"South Carolina, Congressional District 02",21,Less than 25 feet,1960,1960-1969,84,54,9/15/2023,8/18/2017,5,Low,Poor,8/18/2017,Not Required,20901,2012,,2206,1382,62.65%,596,27.02%,15,12,80.00%,3,20.00%
14,Little River WCD Dam 3,SC02391,Private,Flood Risk Reduction,34.5331,-82.0403,Laurens,Laurens,920504,920504Laurens,,South Carolina,29360,"South Carolina, Congressional District 03",32,25-50 feet,1988,1980-1989,61,24,9/11/2024,5/7/2024,2,High,Fair,5/7/2024,No,920504,3001,,3081,1991,64.62%,779,25.28%,51,51,100.00%,0,0.00%
15,Johnsons Pond Dam,SC00358,Private,Recreation,33.6066,-81.3375,Wagener,Aiken,021800,021800Aiken,,South Carolina,29164,"South Carolina, Congressional District 02",19,Less than 25 feet,1930,1930-1939,117,78,9/15/2023,7/26/2017,5,Low,Poor,7/26/2017,Not Required,21800,2072,,2433,1434,58.94%,850,34.94%,14,9,64.29%,5,35.71%
16,Williams Pond Dam,SC00566,Private,Recreation,33.707,-80.9921,Swansea,Calhoun,950100,950100Calhoun,FALSE,South Carolina,29160,"South Carolina, Congressional District 06",19,Less than 25 feet,1958,1950-1959,143,101,9/15/2023,3/22/2017,5,Low,Poor,3/22/2017,Not Required,950100,2006,,5383,3528,65.54%,1511,28.07%,0,0,0.00%,0,0.00%
17,Clarks Millpond Dam,SC00153,Private,Recreation,33.8191,-81.3493,Gilbert,Lexington,021312,021312Lexington,,South Carolina,29054,"South Carolina, Congressional District 02",14,Less than 25 feet,1920,1920-1929,132,84,9/15/2023,4/7/2017,5,Low,Fair,4/7/2017,Not Required,21312,1004,,1992,1468,73.69%,236,11.85%,32,21,65.63%,3,9.38%
18,Fort Pond Dam,SC00147,Private,Recreation,33.7578,-81.2421,Pelion,Lexington,020904,020904Lexington,TRUE,South Carolina,29123,"South Carolina, Congressional District 02",17,Less than 25 feet,1910,1910-1919,558,332,9/15/2023,2/22/2021,2,High,Unsatisfactory,2/22/2021,No,20904,2024,,2974,2431,81.74%,247,8.31%,5,2,40.00%,3,60.00%
19,Daniel's Dam,SC00245,Private,Recreation,34.1135,-82.5888,Calhoun Falls,Abbeville,950600,950600Abbeville,,South Carolina,29628,"South Carolina, Congressional District 03",13,Less than 25 feet,1956,1950-1959,157,48,9/11/2024,6/15/2021,5,Low,Poor,6/15/2021,Not Required,950600,3063,,2648,1234,46.60%,1263,47.70%,13,9,69.23%,4,30.77%
20,Mullikin Pond Dam,SC00558,Private,Other,34.6762,-82.6784,Pendleton,Anderson,010601,010601Anderson,,South Carolina,29670,"South Carolina, Congressional District 03",21,Less than 25 feet,1959,1950-1959,94,76,9/11/2024,12/15/2023,3,Significant,Poor,12/15/2023,No,10601,1047,,3862,3282,84.98%,287,7.43%,11,11,100.00%,0,0.00%
21,Chaplin/Collums Dam,SC00422,Private,Recreation,33.5441,-81.0898,Neeses,Orangeburg,011900,011900Orangeburg,TRUE,South Carolina,29107,"South Carolina, Congressional District 02",14,Less than 25 feet,1945,1940-1949,75,41,9/15/2023,7/18/2017,5,Low,Poor,7/18/2017,Yes,11900,2042,,3952,2300,58.20%,1386,35.07%,8,7,87.50%,0,0.00%
22,Sudlow Lake Dam,SC00293,Private,Recreation,33.5462,-81.8849,North Augusta,Aiken,020601,020601Aiken,FALSE,South Carolina,29841,"South Carolina, Congressional District 02",23,Less than 25 feet,1915,1910-1919,333,185,9/11/2024,11/7/2023,2,High,Fair,11/7/2023,Yes,20601,2015,,3935,2854,72.53%,693,17.61%,65,49,75.38%,12,18.46%
23,Chattooga Lake Dam,SC00519,Private,Recreation,34.8939,-83.1556,Mountain Rest,Oconee,030100,030100Oconee,TRUE,South Carolina,29664,"South Carolina, Congressional District 03",55,51-100 feet,1954,1950-1959,793,0,9/11/2024,8/30/2022,2,High,Poor,8/30/2022,Yes,30100,2009,,4164,3916,94.04%,18,0.43%,15,15,100.00%,0,0.00%
24,Phillip Rand Dam,SC00434,Private,Recreation,33.5836,-80.945,Orangeburg,Orangeburg,010902,010902Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 02",19,Less than 25 feet,1950,1950-1959,97,33,9/15/2023,7/19/2017,5,Low,Poor,7/19/2017,Not Required,10902,1013,,6374,2016,31.63%,3795,59.54%,0,0,0.00%,0,0.00%
25,Twelve Mile Creek WCD Dam 22,SC00701,Private,Flood Risk Reduction,34.9378,-82.7003,Pickens,Pickens,010401,010401Pickens,TRUE,South Carolina,29671,"South Carolina, Congressional District 03",41,25-50 feet,1960,1960-1969,1800,120,9/11/2024,2/7/2024,2,High,Fair,2/7/2024,Yes,10401,1025,,2010,1868,92.94%,1,0.05%,20,17,85.00%,0,0.00%
26,Sterling Lake Pond Dam,SC00218,Private,Recreation,34.0226,-81.2703,Lexington,Lexington,021047,021047Lexington,,South Carolina,29072,"South Carolina, Congressional District 02",32,25-50 feet,1971,1970-1979,345,220,9/11/2024,5/20/2024,2,High,Fair,5/20/2024,Yes,21047,1000,,3116,2730,87.61%,66,2.12%,2181,1981,90.83%,40,1.83%
27,George Rast Pond Dam,SC00590,Private,Recreation,33.557,-80.6765,Cameron,Calhoun,950400,950400Calhoun,TRUE,South Carolina,29030,"South Carolina, Congressional District 06",11,Less than 25 feet,1940,1940-1949,98,28,9/15/2023,3/8/2017,5,Low,Fair,3/8/2017,Not Required,950400,3006,,3112,1817,58.39%,1130,36.31%,34,5,14.71%,29,85.29%
28,Feagles Pond Dam,SC00165,Private,Recreation,33.852,-81.1777,Lexington,Lexington,020905,020905Lexington,TRUE,South Carolina,29073,"South Carolina, Congressional District 02",12,Less than 25 feet,1948,1940-1949,64,53,9/15/2023,4/11/2017,5,Low,Poor,4/11/2017,Not Required,20905,2001,,3677,2662,72.40%,519,14.11%,328,228,69.51%,75,22.87%
29,Caldwells Pond,SC00111,Private,Recreation,34.2059,-81.5231,Prosperity,Newberry,950601,950601Newberry,FALSE,South Carolina,29127,"South Carolina, Congressional District 03",17,Less than 25 feet,1959,1950-1959,90,90,9/15/2023,,5,Low,,,Not Required,950601,1069,,4939,3354,67.91%,1180,23.89%,3,2,66.67%,0,0.00%
30,Eugene and Michele Miller Dam,SC00432,Private,Recreation,33.4174,-81.0042,Cope,Orangeburg,011704,011704Orangeburg,,South Carolina,29038,"South Carolina, Congressional District 02",15,Less than 25 feet,1930,1930-1939,216,118,9/15/2023,9/27/2022,2,High,Poor,9/27/2022,No,11704,1002,,1092,729,66.76%,294,26.92%,66,51,77.27%,14,21.21%
31,Misty Lake Dam,SC00209,Private,Recreation,33.8838,-81.2493,Lexington,Lexington,020909,020909Lexington,,South Carolina,29073,"South Carolina, Congressional District 02",28,25-50 feet,1935,1930-1939,205,169,9/15/2023,2/24/2023,2,High,Fair,2/24/2023,No,20909,1000,,2570,2100,81.71%,214,8.33%,1410,1145,81.21%,153,10.85%
32,Table Rock Reservoir Dam,SC00003,Public Utility,Water Supply,35.0646,-82.6721,Cleveland,Greenville,004102,004102Greenville,FALSE,South Carolina,29635,"South Carolina, Congressional District 04",155,Greater than 100 feet,1925,1920-1929,33112,26486,9/15/2023,8/9/2023,2,High,Satisfactory,8/9/2023,Yes,4102,2024,,1069,992,92.80%,7,0.65%,0,0,0.00%,0,0.00%
33,Swints Lake Dam,SC00341,Private,Recreation,33.5925,-81.9165,North Augusta,Aiken,020500,020500Aiken,FALSE,South Carolina,29860,"South Carolina, Congressional District 02",37,25-50 feet,1951,1950-1959,408,258,9/11/2024,12/20/2023,2,High,Fair,12/20/2023,No,20500,2008,,9244,6959,75.28%,1311,14.18%,6,1,16.67%,2,33.33%
34,Arcadia Woods Lake Dam,SC00093,Private,Recreation,34.0539,-80.963,Columbia,Richland,011102,011102Richland,FALSE,South Carolina,29206,"South Carolina, Congressional District 02",22,Less than 25 feet,1937,1930-1939,45.6,40,9/11/2024,4/17/2024,2,High,Unsatisfactory,4/17/2024,Yes,11102,1010,,3881,3016,77.71%,517,13.32%,30,25,83.33%,3,10.00%
35,Forest Lake Dam,SC00235,Private,Debris Control,34.1582,-79.829,Florence,Florence,000202,000202Florence,FALSE,South Carolina,29501,"South Carolina, Congressional District 07",16,Less than 25 feet,1962,1960-1969,1617,677,9/15/2023,4/12/2023,2,High,Fair,4/12/2023,Yes,202,2014,,8528,4815,56.46%,2561,30.03%,127,93,73.23%,16,12.60%
36,Thicketty Creek WCD 16b,SC00263,Private,Flood Risk Reduction,35.0638,-81.6869,Gaffney,Cherokee,970201,970201Cherokee,FALSE,South Carolina,29341,"South Carolina, Congressional District 05",41,25-50 feet,1967,1960-1969,490,50,9/11/2024,4/17/2024,2,High,Fair,4/17/2024,No,970201,3085,,3903,2204,56.47%,1353,34.67%,6,0,0.00%,6,100.00%
37,M Tucker Laffitte Dam,SC01009,Private,Recreation,32.696,-81.325,Garnett,Hampton,920500,920500Hampton,TRUE,South Carolina,29922,"South Carolina, Congressional District 06",10,Less than 25 feet,1955,1950-1959,80,41,9/15/2023,11/29/2017,5,Low,Poor,11/29/2017,Not Required,920500,1022,,1551,318,20.50%,1181,76.14%,3,0,0.00%,3,100.00%
38,Dr Stuart Clarkson Dam,SC03551,Private,"Fire Protection, Stock, Or Small Fish Pond",34.8917,-83.035,Tamassee,Oconee,030201,030201Oconee,,South Carolina,29686,"South Carolina, Congressional District 03",26,25-50 feet,,Undetermined,53,27.1,9/11/2024,11/7/2023,3,Significant,Fair,11/7/2023,No,30201,1049,,2500,2332,93.28%,9,0.36%,178,174,97.75%,0,0.00%
39,Clark Dubose Pond Dam,SC02324,Private,Recreation,33.8076,-81.6891,Ridge Spring,Edgefield,970300,970300Edgefield,TRUE,South Carolina,29129,"South Carolina, Congressional District 03",28,25-50 feet,,Undetermined,30,8,9/15/2023,7/24/2017,5,Low,Poor,7/24/2017,Not Required,970300,3000,,4147,1831,44.15%,1829,44.10%,5,4,80.00%,1,20.00%
40,Meeting House Pond Dam,SC01905,Private,Recreation,34.6345,-80.3694,Jefferson,Chesterfield,950200,950200Chesterfield,TRUE,South Carolina,29718,"South Carolina, Congressional District 07",13,Less than 25 feet,1955,1950-1959,56,26,10/10/2023,12/22/2020,3,Significant,Not Rated,12/22/2020,Yes,950200,1041,,4113,2801,68.10%,964,23.44%,21,18,85.71%,3,14.29%
41,Moon Lake Dam,SC01800,Private,"Fire Protection, Stock, Or Small Fish Pond",34.9828,-82.2257,Greer,Greenville,002406,002406Greenville,,South Carolina,29651,"South Carolina, Congressional District 04",22,Less than 25 feet,1969,1960-1969,74,53,9/15/2023,3/24/2023,2,High,Poor,3/24/2023,Yes,2406,1021,,1790,1478,82.57%,100,5.59%,19,8,42.11%,0,0.00%
42,Rocky Creek WCD Dam 6,SC02826,Local Government,Flood Risk Reduction,34.7442,-81.1726,Chester,Chester,020400,020400Chester,TRUE,South Carolina,29706,"South Carolina, Congressional District 05",43,25-50 feet,1977,1970-1979,3919,391,9/11/2024,7/10/2024,2,High,Fair,7/10/2024,Yes,20400,2027,,2635,1672,63.45%,728,27.63%,302,161,53.31%,123,40.73%
43,Richard Meek Dam,SC02615,Private,Other,34.9942,-81.2902,York,York,061503,061503York,,South Carolina,29745,"South Carolina, Congressional District 05",34,25-50 feet,1991,1990-1999,18,10.8,9/15/2023,8/22/2017,5,Low,Fair,8/22/2017,Not Required,61503,2035,,3410,2887,84.66%,114,3.34%,24,17,70.83%,1,4.17%
44,Thelma Gibson Pond Dam,SC02505,Private,Recreation,33.4623,-81.0941,Norway,Orangeburg,011802,011802Orangeburg,,South Carolina,29113,"South Carolina, Congressional District 02",11,Less than 25 feet,,Undetermined,70,47,9/15/2023,1/24/2023,3,Significant,Fair,1/24/2023,Yes,11802,1034,,1131,454,40.14%,636,56.23%,12,10,83.33%,0,0.00%
45,Tony Stiwinter Dam,SC02447,Private,Recreation,34.9145,-82.6377,Pickens,Pickens,010502,010502Pickens,TRUE,South Carolina,29671,"South Carolina, Congressional District 03",25,25-50 feet,1989,1980-1989,5,4.2,9/11/2024,6/12/2024,2,High,Fair,6/12/2024,Yes,10502,1024,,3482,3116,89.49%,132,3.79%,73,69,94.52%,0,0.00%
46,Cash Farms Dam,SC02782,Private,Irrigation,35.0823,-81.807,Cowpens,Cherokee,970102,970102Cherokee,,South Carolina,29330,"South Carolina, Congressional District 05",34,25-50 feet,1978,1970-1979,57,37,9/15/2023,9/5/2017,5,Low,Poor,9/5/2017,Not Required,970102,2035,,4535,3936,86.79%,247,5.45%,52,45,86.54%,3,5.77%
47,Rocky Creek WCD Dam 8,SC01157,Local Government,Flood Risk Reduction,34.667,-81.1747,Chester,Chester,020601,020601Chester,FALSE,South Carolina,29706,"South Carolina, Congressional District 05",37,25-50 feet,1977,1970-1979,1100,227,9/11/2024,7/10/2024,2,High,Fair,7/10/2024,Yes,20601,3005,,2467,1826,74.02%,530,21.48%,0,0,0.00%,0,0.00%
48,Country Club Pond Dam,SC01843,Private,Recreation,35.0305,-81.628,Gaffney,Cherokee,970501,970501Cherokee,TRUE,South Carolina,29340,"South Carolina, Congressional District 05",40,25-50 feet,1955,1950-1959,61,47,9/11/2024,6/4/2024,2,High,Fair,6/4/2024,No,970501,1020,,2004,1566,78.14%,254,12.67%,224,205,91.52%,7,3.13%
49,Mattox Pond Dam,SC01841,Private,Recreation,34.963,-81.4918,Gaffney,Cherokee,970602,970602Cherokee,FALSE,South Carolina,29340,"South Carolina, Congressional District 05",34,25-50 feet,1967,1960-1969,123,105,9/15/2023,9/6/2017,5,Low,Fair,9/6/2017,Not Required,970602,1015,,2440,2292,93.93%,47,1.93%,14,8,57.14%,0,0.00%
50,Strickland Pond Dam,SC01565,Private,Recreation,33.6202,-80.939,Orangeburg,Orangeburg,010902,010902Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 02",22,Less than 25 feet,1950,1950-1959,101,47,9/15/2023,3/16/2017,5,Low,Fair,3/16/2017,Not Required,10902,1004,,6374,2016,31.63%,3795,59.54%,16,14,87.50%,1,6.25%
51,Marvin Mckie Dam,SC02668,Private,Fish and Wildlife Pond,33.5622,-82.0202,North Augusta,Edgefield,970502,970502Edgefield,FALSE,South Carolina,29860,"South Carolina, Congressional District 03",27,25-50 feet,1993,1990-1999,34,25,9/15/2023,7/25/2017,5,Low,Fair,7/25/2017,Not Required,970502,2007,,5276,4396,83.32%,496,9.40%,364,343,94.23%,3,0.82%
52,Brockington Pond Dam,SC01655,Private,"Fire Protection, Stock, Or Small Fish Pond",33.6396,-79.4725,Nesmith,Williamsburg,970400,970400Williamsburg,TRUE,South Carolina,29580,"South Carolina, Congressional District 06",19,Less than 25 feet,1963,1960-1969,75,45,9/15/2023,11/16/2017,5,Low,Poor,11/16/2017,Not Required,970400,1021,,2768,1171,42.30%,1535,55.46%,17,13,76.47%,4,23.53%
53,Royal Lake Dam,SC02566,Private,Flood Risk Reduction,33.499,-81.7183,Aiken,Aiken,021204,021204Aiken,,South Carolina,29803,"South Carolina, Congressional District 02",29,25-50 feet,1990,1990-1999,200,54,9/11/2024,2/28/2024,2,High,Fair,2/28/2024,Yes,21204,1060,,3075,1906,61.98%,763,24.81%,0,0,0.00%,0,0.00%
54,Thomas P Hughes Dam,SC01641,Private,Recreation,34.2763,-82.5658,Abbeville,Abbeville,950300,950300Abbeville,,South Carolina,29620,"South Carolina, Congressional District 03",24,Less than 25 feet,1945,1940-1949,104,55,9/15/2023,10/2/2017,5,Low,Poor,10/2/2017,Not Required,950300,1058,,3189,2795,87.65%,217,6.80%,9,9,100.00%,0,0.00%
55,Blake Plantation Pond Dam 2,SC01533,Private,Recreation,32.745,-81.3833,Garnett,Hampton,920401,920401Hampton,,South Carolina,29922,"South Carolina, Congressional District 06",12,Less than 25 feet,1958,1950-1959,176,96,9/10/2024,11/28/2017,5,Low,Poor,11/28/2017,Not Required,920401,2043,,1829,585,31.98%,1179,64.46%,0,0,0.00%,0,0.00%
56,Deschamps Middle Pond Dam,SC01440,Private,Recreation,33.837,-80.3676,Sumter,Sumter,001902,001902Sumter,TRUE,South Carolina,29150,"South Carolina, Congressional District 06",8,Less than 25 feet,1950,1950-1959,83,34,9/11/2024,5/8/2024,2,High,Fair,5/8/2024,Yes,1902,3010,,5305,2898,54.63%,1949,36.74%,0,0,0.00%,0,0.00%
57,W H Tiller Jr Pond Dam,SC02180,Private,Recreation,34.7422,-81.9411,Roebuck,Spartanburg,023700,023700Spartanburg,TRUE,South Carolina,29376,"South Carolina, Congressional District 04",25,25-50 feet,1965,1960-1969,89,66,9/15/2023,6/26/2017,5,Low,Poor,6/26/2017,Not Required,23700,1013,,4304,3567,82.88%,323,7.50%,6,4,66.67%,0,0.00%
58,Beaverdam Creek WCD Dam 2,SC01108,Private,Flood Risk Reduction,33.7735,-81.9023,Edgefield,Edgefield,970203,970203Edgefield,,South Carolina,29824,"South Carolina, Congressional District 03",33,25-50 feet,1964,1960-1969,542,191,9/11/2024,10/23/2023,2,High,Fair,10/23/2023,Yes,970203,2059,,2328,1391,59.75%,829,35.61%,23,21,91.30%,2,8.70%
59,M R Trotter Dam,SC02473,Private,Recreation,33.8983,-80.7282,Eastover,Richland,012000,012000Richland,TRUE,South Carolina,29044,"South Carolina, Congressional District 06",15,Less than 25 feet,1971,1970-1979,60,45,9/15/2023,,5,Low,,,Not Required,12000,4006,,4610,1425,30.91%,2845,61.71%,7,7,100.00%,0,0.00%
60,Spells Fish Pond Dam,SC01632,Private,Recreation,33.3717,-81.1596,Denmark,Bamberg,960101,960101Bamberg,,South Carolina,29042,"South Carolina, Congressional District 06",11,Less than 25 feet,1968,1960-1969,136,81,9/15/2023,8/24/2017,5,Low,Poor,8/24/2017,Not Required,960101,2013,,1469,527,35.87%,895,60.93%,10,4,40.00%,6,60.00%
61,Cedar Lake Dam,SC01230,Private,Recreation,34.2049,-82.1802,Greenwood,Greenwood,970303,970303Greenwood,,South Carolina,29649,"South Carolina, Congressional District 03",25,25-50 feet,1967,1960-1969,178,134,9/15/2023,9/25/2018,5,Low,Not Rated,9/25/2018,Not Required,970303,2031,,3043,1821,59.84%,892,29.31%,140,127,90.71%,10,7.14%
62,Guignard Pond Dam,SC01349,Private,Recreation,33.869,-81.1571,Gaston,Lexington,020905,020905Lexington,TRUE,South Carolina,29053,"South Carolina, Congressional District 02",9,Less than 25 feet,1900,1900-1909,82,37,9/15/2023,4/12/2017,5,Low,Poor,4/12/2017,Not Required,20905,2004,,3677,2662,72.40%,519,14.11%,30,28,93.33%,2,6.67%
63,Babb Pond Dam,SC02061,Private,Recreation,34.5694,-82.2034,Gray Court,Laurens,920104,920104Laurens,TRUE,South Carolina,29645,"South Carolina, Congressional District 03",21,Less than 25 feet,1971,1970-1979,70,42,9/15/2023,9/19/2017,5,Low,Poor,9/19/2017,Not Required,920104,3033,,3431,2896,84.41%,209,6.09%,121,108,89.26%,8,6.61%
64,E Cauldwell Pond Dam,SC02202,Private,Recreation,34.9175,-82.0125,Spartanburg,Spartanburg,021902,021902Spartanburg,FALSE,South Carolina,29301,"South Carolina, Congressional District 04",20,Less than 25 feet,1952,1950-1959,68,50,9/15/2023,1/30/2023,2,High,Poor,1/30/2023,No,21902,4015,,8535,5481,64.22%,1447,16.95%,544,310,56.99%,166,30.51%
65,Burton Pond Dam,SC01245,Private,"Fire Protection, Stock, Or Small Fish Pond",33.8483,-81.6202,Ridge Spring,Saluda,960400,960400Saluda,TRUE,South Carolina,29129,"South Carolina, Congressional District 03",14,Less than 25 feet,1957,1950-1959,62,38,9/11/2024,6/25/2024,2,High,Fair,6/25/2024,Yes,960400,2091,,2770,1622,58.56%,835,30.14%,3,2,66.67%,1,33.33%
66,Dogwood Lake Dam,SC01941,Private,Recreation,34.3879,-80.0282,Hartsville,Darlington,010600,010600Darlington,TRUE,South Carolina,29550,"South Carolina, Congressional District 07",14,Less than 25 feet,1958,1950-1959,52,36,9/15/2023,7/25/2023,2,High,Fair,7/25/2023,Yes,10600,3011,,4652,1898,40.80%,2427,52.17%,33,33,100.00%,0,0.00%
67,Palmer Pond Dam,SC01220,Private,Recreation,34.3182,-80.925,Ridgeway,Fairfield,960301,960301Fairfield,,South Carolina,29130,"South Carolina, Congressional District 05",18,Less than 25 feet,1954,1950-1959,84,72,9/15/2023,5/4/2017,5,Low,Poor,5/4/2017,Not Required,960301,2027,,2950,1278,43.32%,1500,50.85%,192,38,19.79%,150,78.13%
68,Whitehall Dam 1,SC01614,Private,Recreation,34.0504,-81.144,Columbia,Lexington,021106,021106Lexington,FALSE,South Carolina,29210,"South Carolina, Congressional District 02",19,Less than 25 feet,1960,1960-1969,50,6,9/11/2024,2/6/2024,2,High,Fair,2/6/2024,Yes,21106,3016,,2750,1880,68.36%,617,22.44%,82,72,87.80%,5,6.10%
69,Fishing Creek WCD Dam 50,SC00671,Private,Flood Risk Reduction,34.9347,-81.184,York,York,061505,061505York,,South Carolina,29745,"South Carolina, Congressional District 05",34,25-50 feet,1970,1970-1979,326,118,9/11/2024,4/8/2024,2,High,Fair,4/8/2024,Yes,61505,1025,,2718,2180,80.21%,289,10.63%,157,146,92.99%,0,0.00%
70,Ellerbees Millpond Dam,SC01404,Private,Recreation,34.0682,-80.531,Rembert,Sumter,000100,000100Sumter,TRUE,South Carolina,29128,"South Carolina, Congressional District 05",7,Less than 25 feet,1830,Before 1900,340,230,9/15/2023,2/21/2023,3,Significant,Fair,2/21/2023,Yes,100,1042,,2888,643,22.26%,2141,74.13%,0,0,0.00%,0,0.00%
71,Jeffords Pond Dam,SC01937,Private,Recreation,34.3935,-79.8748,Darlington,Darlington,011302,011302Darlington,,South Carolina,29540,"South Carolina, Congressional District 07",18,Less than 25 feet,1962,1960-1969,60,34,9/15/2023,11/10/2017,5,Low,Unsatisfactory,11/10/2017,Not Required,11302,1011,,2275,1173,51.56%,1003,44.09%,0,0,0.00%,0,0.00%
